,date,open,high,low,close,volume,average,barCount,bid_date,bid_open,bid_high,bid_low,bid_close,bid_volume,bid_average,bid_barCount,ask_date,ask_open,ask_high,ask_low,ask_close,ask_volume,ask_average,ask_barCount
0,2022-11-04 09:30:00-04:00,142.09,142.67,141.7,141.78,24448.43,142.117,6057,2022-11-04 09:30:00-04:00,142.09,142.66,141.7,141.77,-1.0,-1.0,-1.0,2022-11-04 09:30:00-04:00,142.1,142.67,141.72,141.78,-1.0,-1.0,-1.0
1,2022-11-04 09:31:00-04:00,141.79,141.96,141.52,141.72,4105.57,141.695,1912,2022-11-04 09:31:00-04:00,141.77,141.95,141.51,141.71,-1.0,-1.0,-1.0,2022-11-04 09:31:00-04:00,141.78,141.96,141.53,141.73,-1.0,-1.0,-1.0
2,2022-11-04 09:32:00-04:00,141.72,141.72,141.02,141.02,3690.56,141.402,1508,2022-11-04 09:32:00-04:00,141.71,141.71,141.01,141.02,-1.0,-1.0,-1.0,2022-11-04 09:32:00-04:00,141.73,141.73,141.02,141.05,-1.0,-1.0,-1.0
3,2022-11-04 09:33:00-04:00,141.02,141.06,140.62,140.63,5628.25,140.898,2347,2022-11-04 09:33:00-04:00,141.02,141.05,140.62,140.62,-1.0,-1.0,-1.0,2022-11-04 09:33:00-04:00,141.05,141.06,140.63,140.64,-1.0,-1.0,-1.0
4,2022-11-04 09:34:00-04:00,140.64,140.7,140.16,140.25,5162.31,140.503,2100,2022-11-04 09:34:00-04:00,140.62,140.7,140.15,140.24,-1.0,-1.0,-1.0,2022-11-04 09:34:00-04:00,140.64,140.71,140.17,140.26,-1.0,-1.0,-1.0
5,2022-11-04 09:35:00-04:00,140.26,140.66,140.11,140.17,5090.97,140.454,2324,2022-11-04 09:35:00-04:00,140.24,140.65,140.1,140.16,-1.0,-1.0,-1.0,2022-11-04 09:35:00-04:00,140.26,140.66,140.12,140.17,-1.0,-1.0,-1.0
6,2022-11-04 09:36:00-04:00,140.17,140.23,139.91,139.93,4948.69,140.066,2247,2022-11-04 09:36:00-04:00,140.16,140.23,139.9,139.92,-1.0,-1.0,-1.0,2022-11-04 09:36:00-04:00,140.17,140.24,139.92,139.93,-1.0,-1.0,-1.0
7,2022-11-04 09:37:00-04:00,139.93,140.02,139.61,139.67,4478.79,139.816,1827,2022-11-04 09:37:00-04:00,139.92,140.01,139.61,139.65,-1.0,-1.0,-1.0,2022-11-04 09:37:00-04:00,139.93,140.03,139.63,139.66,-1.0,-1.0,-1.0
8,2022-11-04 09:38:00-04:00,139.65,139.69,139.2,139.55,6509.38,139.519,2186,2022-11-04 09:38:00-04:00,139.65,139.68,139.2,139.53,-1.0,-1.0,-1.0,2022-11-04 09:38:00-04:00,139.66,139.69,139.22,139.55,-1.0,-1.0,-1.0
9,2022-11-04 09:39:00-04:00,139.54,139.61,139.26,139.26,2747.48,139.468,1367,2022-11-04 09:39:00-04:00,139.53,139.61,139.26,139.26,-1.0,-1.0,-1.0,2022-11-04 09:39:00-04:00,139.55,139.62,139.27,139.28,-1.0,-1.0,-1.0
