,date,open,high,low,close,volume,average,barCount,bid_date,bid_open,bid_high,bid_low,bid_close,bid_volume,bid_average,bid_barCount,ask_date,ask_open,ask_high,ask_low,ask_close,ask_volume,ask_average,ask_barCount
0,2022-11-04 09:30:00-04:00,373.98,374.25,373.58,374.18,115.16,373.73,13,2022-11-04 09:30:00-04:00,373.71,373.87,373.25,373.63,-1.0,-1.0,-1.0,2022-11-04 09:30:00-04:00,374.25,374.25,373.8,374.19,-1.0,-1.0,-1.0
1,2022-11-04 09:31:00-04:00,373.69,374.07,373.63,373.69,27.83,373.86,25,2022-11-04 09:31:00-04:00,373.63,373.91,373.58,373.68,-1.0,-1.0,-1.0,2022-11-04 09:31:00-04:00,374.19,374.19,373.85,373.85,-1.0,-1.0,-1.0
2,2022-11-04 09:32:00-04:00,373.85,374.07,373.73,374.06,34.4,373.931,28,2022-11-04 09:32:00-04:00,373.68,373.8,373.68,373.8,-1.0,-1.0,-1.0,2022-11-04 09:32:00-04:00,373.85,374.19,373.74,374.0,-1.0,-1.0,-1.0
3,2022-11-04 09:33:00-04:00,374.0,374.22,374.0,374.16,27.16,374.11,25,2022-11-04 09:33:00-04:00,373.8,374.03,373.8,374.0,-1.0,-1.0,-1.0,2022-11-04 09:33:00-04:00,374.0,374.52,374.0,374.32,-1.0,-1.0,-1.0
4,2022-11-04 09:34:00-04:00,374.25,374.28,374.0,374.21,118.5,374.18,66,2022-11-04 09:34:00-04:00,374.0,374.25,373.95,374.1,-1.0,-1.0,-1.0,2022-11-04 09:34:00-04:00,374.32,374.32,374.19,374.31,-1.0,-1.0,-1.0
5,2022-11-04 09:35:00-04:00,374.17,374.2,373.99,374.0,41.7,374.11,37,2022-11-04 09:35:00-04:00,374.1,374.1,373.9,373.9,-1.0,-1.0,-1.0,2022-11-04 09:35:00-04:00,374.31,374.32,374.06,374.06,-1.0,-1.0,-1.0
6,2022-11-04 09:36:00-04:00,374.05,374.09,373.75,373.81,79.97,373.93,65,2022-11-04 09:36:00-04:00,373.9,373.93,373.73,373.75,-1.0,-1.0,-1.0,2022-11-04 09:36:00-04:00,374.06,374.09,373.88,373.88,-1.0,-1.0,-1.0
7,2022-11-04 09:37:00-04:00,373.88,374.0,373.7,373.7,99.65,373.885,65,2022-11-04 09:37:00-04:00,373.75,373.9,373.61,373.61,-1.0,-1.0,-1.0,2022-11-04 09:37:00-04:00,373.88,374.0,373.88,373.88,-1.0,-1.0,-1.0
8,2022-11-04 09:38:00-04:00,373.65,373.73,373.49,373.67,25.46,373.61,22,2022-11-04 09:38:00-04:00,373.61,373.67,373.27,373.51,-1.0,-1.0,-1.0,2022-11-04 09:38:00-04:00,373.88,373.88,373.61,373.7,-1.0,-1.0,-1.0
9,2022-11-04 09:39:00-04:00,373.73,373.73,373.61,373.61,6.09,373.71,5,2022-11-04 09:39:00-04:00,373.51,373.61,373.51,373.56,-1.0,-1.0,-1.0,2022-11-04 09:39:00-04:00,373.7,373.85,373.7,373.85,-1.0,-1.0,-1.0
10,2022-11-04 09:40:00-04:00,373.58,373.58,373.4,373.45,30.5,373.521,26,2022-11-04 09:40:00-04:00,373.56,373.56,373.35,373.41,-1.0,-1.0,-1.0,2022-11-04 09:40:00-04:00,373.85,373.85,373.5,373.56,-1.0,-1.0,-1.0
11,2022-11-04 09:41:00-04:00,373.61,373.66,373.45,373.66,21.74,373.543,18,2022-11-04 09:41:00-04:00,373.41,373.66,373.41,373.45,-1.0,-1.0,-1.0,2022-11-04 09:41:00-04:00,373.56,373.69,373.56,373.69,-1.0,-1.0,-1.0
12,2022-11-04 09:42:00-04:00,373.67,373.67,373.4,373.59,40.0,373.513,38,2022-11-04 09:42:00-04:00,373.45,373.54,373.4,373.45,-1.0,-1.0,-1.0,2022-11-04 09:42:00-04:00,373.69,373.69,373.55,373.6,-1.0,-1.0,-1.0
13,2022-11-04 09:43:00-04:00,373.46,373.69,373.43,373.69,26.36,373.534,24,2022-11-04 09:43:00-04:00,373.45,373.55,373.43,373.53,-1.0,-1.0,-1.0,2022-11-04 09:43:00-04:00,373.6,373.79,373.55,373.79,-1.0,-1.0,-1.0
14,2022-11-04 09:44:00-04:00,373.59,373.79,373.49,373.5,43.27,373.547,27,2022-11-04 09:44:00-04:00,373.53,373.78,373.49,373.49,-1.0,-1.0,-1.0,2022-11-04 09:44:00-04:00,373.79,373.85,373.65,373.66,-1.0,-1.0,-1.0
15,2022-11-04 09:45:00-04:00,373.5,373.95,373.5,373.9,26.6,373.769,24,2022-11-04 09:45:00-04:00,373.49,373.9,373.49,373.9,-1.0,-1.0,-1.0,2022-11-04 09:45:00-04:00,373.66,373.99,373.66,373.99,-1.0,-1.0,-1.0
16,2022-11-04 09:46:00-04:00,373.9,374.12,373.9,374.12,5.5,373.991,4,2022-11-04 09:46:00-04:00,373.9,374.06,373.8,374.0,-1.0,-1.0,-1.0,2022-11-04 09:46:00-04:00,373.99,374.23,373.99,374.22,-1.0,-1.0,-1.0
17,2022-11-04 09:47:00-04:00,374.02,374.11,373.86,373.86,25.42,373.992,25,2022-11-04 09:47:00-04:00,374.0,374.0,373.81,373.87,-1.0,-1.0,-1.0,2022-11-04 09:47:00-04:00,374.22,374.22,374.06,374.08,-1.0,-1.0,-1.0
18,2022-11-04 09:48:00-04:00,374.01,374.2,373.95,373.95,23.14,374.058,22,2022-11-04 09:48:00-04:00,373.87,373.98,373.87,373.92,-1.0,-1.0,-1.0,2022-11-04 09:48:00-04:00,374.08,374.22,374.04,374.18,-1.0,-1.0,-1.0
19,2022-11-04 09:49:00-04:00,374.09,374.09,373.7,373.7,18.5,373.819,14,2022-11-04 09:49:00-04:00,373.92,373.93,373.66,373.7,-1.0,-1.0,-1.0,2022-11-04 09:49:00-04:00,374.18,374.18,373.89,373.9,-1.0,-1.0,-1.0
20,2022-11-04 09:50:00-04:00,373.75,374.0,373.75,373.77,35.03,373.853,33,2022-11-04 09:50:00-04:00,373.7,373.84,373.7,373.75,-1.0,-1.0,-1.0,2022-11-04 09:50:00-04:00,373.9,374.0,373.87,373.87,-1.0,-1.0,-1.0
21,2022-11-04 09:51:00-04:00,373.7,373.8,373.6,373.66,22.6,373.735,19,2022-11-04 09:51:00-04:00,373.75,373.75,373.6,373.63,-1.0,-1.0,-1.0,2022-11-04 09:51:00-04:00,373.87,373.87,373.78,373.79,-1.0,-1.0,-1.0
22,2022-11-04 09:52:00-04:00,373.8,373.87,373.65,373.69,48.0,373.693,24,2022-11-04 09:52:00-04:00,373.63,373.67,373.63,373.63,-1.0,-1.0,-1.0,2022-11-04 09:52:00-04:00,373.79,373.88,373.78,373.82,-1.0,-1.0,-1.0
23,2022-11-04 09:53:00-04:00,373.63,373.9,373.61,373.79,31.42,373.718,29,2022-11-04 09:53:00-04:00,373.63,373.69,373.6,373.69,-1.0,-1.0,-1.0,2022-11-04 09:53:00-04:00,373.82,373.95,373.77,373.88,-1.0,-1.0,-1.0
24,2022-11-04 09:54:00-04:00,373.9,374.0,373.85,373.85,11.02,373.949,10,2022-11-04 09:54:00-04:00,373.69,373.9,373.69,373.84,-1.0,-1.0,-1.0,2022-11-04 09:54:00-04:00,373.88,374.05,373.88,374.03,-1.0,-1.0,-1.0
25,2022-11-04 09:55:00-04:00,373.85,374.01,373.8,373.8,20.15,373.852,19,2022-11-04 09:55:00-04:00,373.84,373.84,373.75,373.75,-1.0,-1.0,-1.0,2022-11-04 09:55:00-04:00,374.03,374.03,373.9,373.9,-1.0,-1.0,-1.0
26,2022-11-04 09:56:00-04:00,373.75,373.99,373.73,373.89,42.57,373.87,39,2022-11-04 09:56:00-04:00,373.75,373.85,373.73,373.84,-1.0,-1.0,-1.0,2022-11-04 09:56:00-04:00,373.9,374.0,373.89,373.98,-1.0,-1.0,-1.0
27,2022-11-04 09:57:00-04:00,373.97,373.98,373.84,373.92,33.74,373.918,31,2022-11-04 09:57:00-04:00,373.84,373.89,373.84,373.86,-1.0,-1.0,-1.0,2022-11-04 09:57:00-04:00,373.98,373.98,373.95,373.98,-1.0,-1.0,-1.0
28,2022-11-04 09:58:00-04:00,373.88,374.0,373.88,374.0,29.13,373.976,27,2022-11-04 09:58:00-04:00,373.86,373.95,373.86,373.95,-1.0,-1.0,-1.0,2022-11-04 09:58:00-04:00,373.98,374.05,373.98,374.05,-1.0,-1.0,-1.0
29,2022-11-04 09:59:00-04:00,374.05,374.05,373.86,373.86,29.16,373.949,28,2022-11-04 09:59:00-04:00,373.95,373.95,373.85,373.85,-1.0,-1.0,-1.0,2022-11-04 09:59:00-04:00,374.05,374.05,373.93,373.93,-1.0,-1.0,-1.0
30,2022-11-04 10:00:00-04:00,373.92,374.1,373.9,374.03,73.49,373.989,68,2022-11-04 10:00:00-04:00,373.85,374.0,373.85,373.96,-1.0,-1.0,-1.0,2022-11-04 10:00:00-04:00,373.93,374.11,373.93,374.1,-1.0,-1.0,-1.0
31,2022-11-04 10:01:00-04:00,374.03,374.09,373.8,373.88,228.86,373.955,105,2022-11-04 10:01:00-04:00,373.96,373.96,373.79,373.85,-1.0,-1.0,-1.0,2022-11-04 10:01:00-04:00,374.1,374.1,373.9,373.95,-1.0,-1.0,-1.0
32,2022-11-04 10:02:00-04:00,373.94,374.07,373.91,374.0,101.07,373.993,68,2022-11-04 10:02:00-04:00,373.85,373.96,373.85,373.93,-1.0,-1.0,-1.0,2022-11-04 10:02:00-04:00,373.95,374.08,373.95,374.05,-1.0,-1.0,-1.0
33,2022-11-04 10:03:00-04:00,373.93,374.05,373.91,373.97,99.96,373.981,89,2022-11-04 10:03:00-04:00,373.93,373.97,373.91,373.93,-1.0,-1.0,-1.0,2022-11-04 10:03:00-04:00,374.05,374.07,373.97,374.0,-1.0,-1.0,-1.0
34,2022-11-04 10:04:00-04:00,373.93,373.99,373.86,373.96,32.15,373.935,29,2022-11-04 10:04:00-04:00,373.93,373.95,373.86,373.95,-1.0,-1.0,-1.0,2022-11-04 10:04:00-04:00,374.0,374.0,373.93,373.99,-1.0,-1.0,-1.0
35,2022-11-04 10:05:00-04:00,373.97,374.04,373.96,374.04,35.73,374.006,29,2022-11-04 10:05:00-04:00,373.95,374.0,373.95,374.0,-1.0,-1.0,-1.0,2022-11-04 10:05:00-04:00,373.99,374.05,373.99,374.05,-1.0,-1.0,-1.0
36,2022-11-04 10:06:00-04:00,374.0,374.05,373.85,373.85,39.08,373.96,30,2022-11-04 10:06:00-04:00,374.0,374.0,373.85,373.87,-1.0,-1.0,-1.0,2022-11-04 10:06:00-04:00,374.05,374.05,373.9,373.94,-1.0,-1.0,-1.0
37,2022-11-04 10:07:00-04:00,373.93,373.95,373.74,373.84,81.92,373.923,18,2022-11-04 10:07:00-04:00,373.87,373.87,373.71,373.73,-1.0,-1.0,-1.0,2022-11-04 10:07:00-04:00,373.94,373.94,373.84,373.84,-1.0,-1.0,-1.0
38,2022-11-04 10:08:00-04:00,373.74,373.79,373.69,373.79,10.07,373.73,8,2022-11-04 10:08:00-04:00,373.73,373.74,373.66,373.74,-1.0,-1.0,-1.0,2022-11-04 10:08:00-04:00,373.84,373.84,373.74,373.84,-1.0,-1.0,-1.0
39,2022-11-04 10:09:00-04:00,373.84,374.01,373.84,373.85,37.76,373.927,32,2022-11-04 10:09:00-04:00,373.74,373.9,373.73,373.82,-1.0,-1.0,-1.0,2022-11-04 10:09:00-04:00,373.84,374.04,373.84,373.95,-1.0,-1.0,-1.0
40,2022-11-04 10:10:00-04:00,373.94,373.94,373.82,373.85,17.0,373.896,13,2022-11-04 10:10:00-04:00,373.82,373.85,373.79,373.81,-1.0,-1.0,-1.0,2022-11-04 10:10:00-04:00,373.95,373.95,373.93,373.93,-1.0,-1.0,-1.0
41,2022-11-04 10:11:00-04:00,373.93,374.1,373.93,374.05,56.49,374.01,49,2022-11-04 10:11:00-04:00,373.81,374.09,373.81,373.98,-1.0,-1.0,-1.0,2022-11-04 10:11:00-04:00,373.93,374.19,373.93,374.11,-1.0,-1.0,-1.0
42,2022-11-04 10:12:00-04:00,373.99,374.14,373.92,374.0,76.37,374.018,71,2022-11-04 10:12:00-04:00,373.98,374.03,373.91,374.0,-1.0,-1.0,-1.0,2022-11-04 10:12:00-04:00,374.11,374.15,374.02,374.1,-1.0,-1.0,-1.0
43,2022-11-04 10:13:00-04:00,374.0,374.1,373.96,374.0,99.25,374.043,91,2022-11-04 10:13:00-04:00,374.0,374.06,373.96,374.0,-1.0,-1.0,-1.0,2022-11-04 10:13:00-04:00,374.1,374.12,374.05,374.1,-1.0,-1.0,-1.0
44,2022-11-04 10:14:00-04:00,374.06,374.08,374.0,374.06,67.49,374.033,60,2022-11-04 10:14:00-04:00,374.0,374.03,373.98,374.01,-1.0,-1.0,-1.0,2022-11-04 10:14:00-04:00,374.1,374.1,374.05,374.05,-1.0,-1.0,-1.0
45,2022-11-04 10:15:00-04:00,374.03,374.07,374.0,374.02,70.55,374.021,66,2022-11-04 10:15:00-04:00,374.01,374.02,374.0,374.0,-1.0,-1.0,-1.0,2022-11-04 10:15:00-04:00,374.05,374.07,374.01,374.02,-1.0,-1.0,-1.0
46,2022-11-04 10:16:00-04:00,374.01,374.14,374.01,374.08,39.25,374.063,38,2022-11-04 10:16:00-04:00,374.0,374.11,374.0,374.11,-1.0,-1.0,-1.0,2022-11-04 10:16:00-04:00,374.02,374.25,374.02,374.25,-1.0,-1.0,-1.0
47,2022-11-04 10:17:00-04:00,374.11,374.18,374.01,374.01,29.79,374.099,29,2022-11-04 10:17:00-04:00,374.11,374.11,374.0,374.0,-1.0,-1.0,-1.0,2022-11-04 10:17:00-04:00,374.25,374.25,374.11,374.11,-1.0,-1.0,-1.0
48,2022-11-04 10:18:00-04:00,374.01,374.06,374.0,374.06,21.0,374.026,20,2022-11-04 10:18:00-04:00,374.0,374.0,374.0,374.0,-1.0,-1.0,-1.0,2022-11-04 10:18:00-04:00,374.11,374.11,374.05,374.07,-1.0,-1.0,-1.0
49,2022-11-04 10:19:00-04:00,374.04,374.06,374.0,374.03,22.57,374.02,18,2022-11-04 10:19:00-04:00,374.0,374.0,374.0,374.0,-1.0,-1.0,-1.0,2022-11-04 10:19:00-04:00,374.07,374.07,374.05,374.05,-1.0,-1.0,-1.0
50,2022-11-04 10:20:00-04:00,374.05,374.07,374.0,374.0,75.63,374.022,68,2022-11-04 10:20:00-04:00,374.0,374.02,374.0,374.0,-1.0,-1.0,-1.0,2022-11-04 10:20:00-04:00,374.05,374.14,374.02,374.02,-1.0,-1.0,-1.0
51,2022-11-04 10:21:00-04:00,374.01,374.05,373.94,374.04,70.97,374.002,64,2022-11-04 10:21:00-04:00,374.0,374.0,373.93,373.94,-1.0,-1.0,-1.0,2022-11-04 10:21:00-04:00,374.02,374.1,373.99,374.1,-1.0,-1.0,-1.0
52,2022-11-04 10:22:00-04:00,374.0,374.09,373.94,374.09,66.31,374.016,61,2022-11-04 10:22:00-04:00,373.94,374.02,373.93,374.02,-1.0,-1.0,-1.0,2022-11-04 10:22:00-04:00,374.1,374.15,374.0,374.15,-1.0,-1.0,-1.0
53,2022-11-04 10:23:00-04:00,374.05,374.09,373.97,374.02,90.73,374.023,77,2022-11-04 10:23:00-04:00,374.02,374.05,373.96,374.01,-1.0,-1.0,-1.0,2022-11-04 10:23:00-04:00,374.15,374.15,374.0,374.07,-1.0,-1.0,-1.0
54,2022-11-04 10:24:00-04:00,374.07,374.07,374.0,374.04,52.85,374.036,46,2022-11-04 10:24:00-04:00,374.01,374.01,374.0,374.01,-1.0,-1.0,-1.0,2022-11-04 10:24:00-04:00,374.07,374.08,374.03,374.08,-1.0,-1.0,-1.0
55,2022-11-04 10:25:00-04:00,374.09,374.17,374.01,374.08,24.23,374.084,20,2022-11-04 10:25:00-04:00,374.01,374.08,374.01,374.06,-1.0,-1.0,-1.0,2022-11-04 10:25:00-04:00,374.08,374.21,374.07,374.16,-1.0,-1.0,-1.0
56,2022-11-04 10:26:00-04:00,374.11,374.18,374.08,374.18,11.5,374.136,10,2022-11-04 10:26:00-04:00,374.06,374.11,374.06,374.11,-1.0,-1.0,-1.0,2022-11-04 10:26:00-04:00,374.16,374.25,374.16,374.25,-1.0,-1.0,-1.0
57,2022-11-04 10:27:00-04:00,374.19,374.19,374.07,374.1,22.61,374.126,21,2022-11-04 10:27:00-04:00,374.11,374.12,374.06,374.06,-1.0,-1.0,-1.0,2022-11-04 10:27:00-04:00,374.25,374.25,374.13,374.13,-1.0,-1.0,-1.0
58,2022-11-04 10:28:00-04:00,374.08,374.13,374.03,374.08,27.2,374.077,26,2022-11-04 10:28:00-04:00,374.06,374.06,374.01,374.04,-1.0,-1.0,-1.0,2022-11-04 10:28:00-04:00,374.13,374.13,374.11,374.11,-1.0,-1.0,-1.0
59,2022-11-04 10:29:00-04:00,374.1,374.11,373.93,373.94,37.51,374.013,29,2022-11-04 10:29:00-04:00,374.04,374.04,373.91,373.93,-1.0,-1.0,-1.0,2022-11-04 10:29:00-04:00,374.11,374.11,373.99,373.99,-1.0,-1.0,-1.0
60,2022-11-04 10:30:00-04:00,373.96,374.06,373.96,374.06,26.27,374.007,24,2022-11-04 10:30:00-04:00,373.93,374.01,373.93,373.98,-1.0,-1.0,-1.0,2022-11-04 10:30:00-04:00,373.99,374.09,373.98,374.08,-1.0,-1.0,-1.0
61,2022-11-04 10:31:00-04:00,374.03,374.06,373.98,374.02,22.0,374.023,22,2022-11-04 10:31:00-04:00,373.98,373.99,373.96,373.97,-1.0,-1.0,-1.0,2022-11-04 10:31:00-04:00,374.08,374.08,374.01,374.07,-1.0,-1.0,-1.0
62,2022-11-04 10:32:00-04:00,374.05,374.06,373.93,373.93,15.21,373.999,15,2022-11-04 10:32:00-04:00,373.97,373.98,373.93,373.94,-1.0,-1.0,-1.0,2022-11-04 10:32:00-04:00,374.07,374.07,374.0,374.0,-1.0,-1.0,-1.0
63,2022-11-04 10:33:00-04:00,374.0,374.0,373.85,373.94,24.2,373.907,23,2022-11-04 10:33:00-04:00,373.94,373.95,373.83,373.85,-1.0,-1.0,-1.0,2022-11-04 10:33:00-04:00,374.0,374.0,373.95,373.95,-1.0,-1.0,-1.0
64,2022-11-04 10:34:00-04:00,373.95,374.0,373.85,373.96,42.42,373.941,38,2022-11-04 10:34:00-04:00,373.85,373.93,373.85,373.91,-1.0,-1.0,-1.0,2022-11-04 10:34:00-04:00,373.95,374.05,373.95,374.0,-1.0,-1.0,-1.0
65,2022-11-04 10:35:00-04:00,373.93,373.96,373.82,373.82,51.28,373.873,37,2022-11-04 10:35:00-04:00,373.91,373.91,373.82,373.82,-1.0,-1.0,-1.0,2022-11-04 10:35:00-04:00,374.0,374.0,373.87,373.9,-1.0,-1.0,-1.0
66,2022-11-04 10:36:00-04:00,373.88,373.89,373.7,373.7,23.53,373.794,22,2022-11-04 10:36:00-04:00,373.82,373.82,373.67,373.67,-1.0,-1.0,-1.0,2022-11-04 10:36:00-04:00,373.9,373.9,373.75,373.75,-1.0,-1.0,-1.0
67,2022-11-04 10:37:00-04:00,373.74,373.89,373.7,373.85,23.91,373.79,22,2022-11-04 10:37:00-04:00,373.67,373.8,373.67,373.8,-1.0,-1.0,-1.0,2022-11-04 10:37:00-04:00,373.75,373.93,373.75,373.89,-1.0,-1.0,-1.0
68,2022-11-04 10:38:00-04:00,373.8,373.88,373.76,373.87,8.0,373.821,8,2022-11-04 10:38:00-04:00,373.8,373.8,373.76,373.77,-1.0,-1.0,-1.0,2022-11-04 10:38:00-04:00,373.89,373.89,373.88,373.88,-1.0,-1.0,-1.0
69,2022-11-04 10:39:00-04:00,373.77,373.82,373.75,373.82,18.46,373.767,18,2022-11-04 10:39:00-04:00,373.77,373.77,373.73,373.75,-1.0,-1.0,-1.0,2022-11-04 10:39:00-04:00,373.88,373.88,373.84,373.84,-1.0,-1.0,-1.0
70,2022-11-04 10:40:00-04:00,373.8,373.95,373.77,373.95,32.03,373.831,29,2022-11-04 10:40:00-04:00,373.75,373.81,373.75,373.81,-1.0,-1.0,-1.0,2022-11-04 10:40:00-04:00,373.84,373.98,373.84,373.98,-1.0,-1.0,-1.0
71,2022-11-04 10:41:00-04:00,373.94,374.0,373.9,373.91,25.2,373.939,19,2022-11-04 10:41:00-04:00,373.81,373.9,373.81,373.9,-1.0,-1.0,-1.0,2022-11-04 10:41:00-04:00,373.98,374.04,373.98,373.99,-1.0,-1.0,-1.0
72,2022-11-04 10:42:00-04:00,373.9,373.94,373.76,373.89,41.5,373.867,36,2022-11-04 10:42:00-04:00,373.9,373.91,373.76,373.78,-1.0,-1.0,-1.0,2022-11-04 10:42:00-04:00,373.99,373.99,373.89,373.9,-1.0,-1.0,-1.0
73,2022-11-04 10:43:00-04:00,373.9,373.9,373.78,373.87,13.05,373.837,12,2022-11-04 10:43:00-04:00,373.78,373.8,373.78,373.8,-1.0,-1.0,-1.0,2022-11-04 10:43:00-04:00,373.9,373.9,373.83,373.88,-1.0,-1.0,-1.0
74,2022-11-04 10:44:00-04:00,373.88,373.94,373.81,373.94,41.03,373.864,36,2022-11-04 10:44:00-04:00,373.8,373.86,373.8,373.86,-1.0,-1.0,-1.0,2022-11-04 10:44:00-04:00,373.88,373.95,373.88,373.95,-1.0,-1.0,-1.0
75,2022-11-04 10:45:00-04:00,373.94,373.95,373.83,373.9,25.0,373.877,25,2022-11-04 10:45:00-04:00,373.86,373.9,373.81,373.83,-1.0,-1.0,-1.0,2022-11-04 10:45:00-04:00,373.95,373.96,373.9,373.9,-1.0,-1.0,-1.0
76,2022-11-04 10:46:00-04:00,373.83,373.89,373.81,373.82,17.75,373.829,15,2022-11-04 10:46:00-04:00,373.83,373.83,373.8,373.81,-1.0,-1.0,-1.0,2022-11-04 10:46:00-04:00,373.9,373.9,373.88,373.89,-1.0,-1.0,-1.0
77,2022-11-04 10:47:00-04:00,373.85,373.89,373.78,373.79,63.02,373.826,56,2022-11-04 10:47:00-04:00,373.81,373.82,373.76,373.76,-1.0,-1.0,-1.0,2022-11-04 10:47:00-04:00,373.89,373.9,373.85,373.85,-1.0,-1.0,-1.0
78,2022-11-04 10:48:00-04:00,373.82,373.82,373.7,373.75,45.22,373.749,42,2022-11-04 10:48:00-04:00,373.76,373.76,373.68,373.7,-1.0,-1.0,-1.0,2022-11-04 10:48:00-04:00,373.85,373.85,373.75,373.75,-1.0,-1.0,-1.0
79,2022-11-04 10:49:00-04:00,373.74,373.8,373.71,373.8,7.0,373.766,6,2022-11-04 10:49:00-04:00,373.7,373.76,373.7,373.76,-1.0,-1.0,-1.0,2022-11-04 10:49:00-04:00,373.75,373.85,373.75,373.85,-1.0,-1.0,-1.0
80,2022-11-04 10:50:00-04:00,373.85,373.86,373.68,373.68,71.17,373.746,62,2022-11-04 10:50:00-04:00,373.76,373.77,373.62,373.65,-1.0,-1.0,-1.0,2022-11-04 10:50:00-04:00,373.85,373.87,373.73,373.74,-1.0,-1.0,-1.0
81,2022-11-04 10:51:00-04:00,373.65,373.69,373.57,373.57,27.99,373.636,22,2022-11-04 10:51:00-04:00,373.65,373.65,373.57,373.57,-1.0,-1.0,-1.0,2022-11-04 10:51:00-04:00,373.74,373.74,373.65,373.65,-1.0,-1.0,-1.0
82,2022-11-04 10:52:00-04:00,373.57,373.63,373.49,373.6,20.0,373.547,14,2022-11-04 10:52:00-04:00,373.57,373.57,373.5,373.52,-1.0,-1.0,-1.0,2022-11-04 10:52:00-04:00,373.65,373.65,373.55,373.6,-1.0,-1.0,-1.0
83,2022-11-04 10:53:00-04:00,373.58,373.62,373.5,373.62,31.98,373.556,23,2022-11-04 10:53:00-04:00,373.52,373.52,373.5,373.52,-1.0,-1.0,-1.0,2022-11-04 10:53:00-04:00,373.6,373.64,373.58,373.64,-1.0,-1.0,-1.0
84,2022-11-04 10:54:00-04:00,373.53,373.82,373.53,373.62,14.19,373.653,12,2022-11-04 10:54:00-04:00,373.52,373.61,373.52,373.61,-1.0,-1.0,-1.0,2022-11-04 10:54:00-04:00,373.64,373.84,373.64,373.78,-1.0,-1.0,-1.0
85,2022-11-04 10:55:00-04:00,373.63,373.7,373.56,373.56,22.0,373.648,13,2022-11-04 10:55:00-04:00,373.61,373.65,373.52,373.52,-1.0,-1.0,-1.0,2022-11-04 10:55:00-04:00,373.78,373.78,373.68,373.68,-1.0,-1.0,-1.0
86,2022-11-04 10:56:00-04:00,373.66,373.7,373.57,373.63,20.96,373.645,17,2022-11-04 10:56:00-04:00,373.52,373.6,373.52,373.56,-1.0,-1.0,-1.0,2022-11-04 10:56:00-04:00,373.68,373.7,373.65,373.7,-1.0,-1.0,-1.0
87,2022-11-04 10:57:00-04:00,373.58,373.63,373.5,373.5,44.93,373.532,22,2022-11-04 10:57:00-04:00,373.56,373.56,373.5,373.5,-1.0,-1.0,-1.0,2022-11-04 10:57:00-04:00,373.7,373.7,373.6,373.6,-1.0,-1.0,-1.0
88,2022-11-04 10:58:00-04:00,373.5,373.5,373.4,373.44,77.2,373.475,50,2022-11-04 10:58:00-04:00,373.5,373.5,373.4,373.4,-1.0,-1.0,-1.0,2022-11-04 10:58:00-04:00,373.6,373.6,373.48,373.48,-1.0,-1.0,-1.0
89,2022-11-04 10:59:00-04:00,373.47,373.48,373.33,373.39,59.44,373.416,53,2022-11-04 10:59:00-04:00,373.4,373.41,373.27,373.31,-1.0,-1.0,-1.0,2022-11-04 10:59:00-04:00,373.48,373.48,373.35,373.47,-1.0,-1.0,-1.0
90,2022-11-04 11:00:00-04:00,373.39,373.61,373.34,373.58,55.57,373.49,43,2022-11-04 11:00:00-04:00,373.31,373.51,373.31,373.51,-1.0,-1.0,-1.0,2022-11-04 11:00:00-04:00,373.47,373.65,373.47,373.65,-1.0,-1.0,-1.0
91,2022-11-04 11:01:00-04:00,373.52,373.52,373.35,373.43,42.5,373.427,36,2022-11-04 11:01:00-04:00,373.51,373.51,373.33,373.33,-1.0,-1.0,-1.0,2022-11-04 11:01:00-04:00,373.65,373.65,373.45,373.45,-1.0,-1.0,-1.0
92,2022-11-04 11:02:00-04:00,373.3,373.39,373.27,373.35,21.04,373.328,12,2022-11-04 11:02:00-04:00,373.33,373.33,373.25,373.3,-1.0,-1.0,-1.0,2022-11-04 11:02:00-04:00,373.45,373.45,373.38,373.38,-1.0,-1.0,-1.0
93,2022-11-04 11:03:00-04:00,373.34,373.45,373.25,373.45,40.72,373.345,38,2022-11-04 11:03:00-04:00,373.3,373.4,373.25,373.35,-1.0,-1.0,-1.0,2022-11-04 11:03:00-04:00,373.38,373.48,373.34,373.47,-1.0,-1.0,-1.0
