,date,open,high,low,close,volume,average,barCount,bid_date,bid_open,bid_high,bid_low,bid_close,bid_volume,bid_average,bid_barCount,ask_date,ask_open,ask_high,ask_low,ask_close,ask_volume,ask_average,ask_barCount
0,2022-11-04 09:30:00-04:00,222.6,223.79,222.38,223.57,8093.98,222.941,2413,2022-11-04 09:30:00-04:00,222.59,223.7,222.38,223.5,-1.0,-1.0,-1.0,2022-11-04 09:30:00-04:00,222.69,223.79,222.45,223.63,-1.0,-1.0,-1.0
1,2022-11-04 09:31:00-04:00,223.6,223.8,222.2,222.47,3006.68,223.072,1702,2022-11-04 09:31:00-04:00,223.5,223.77,222.2,222.44,-1.0,-1.0,-1.0,2022-11-04 09:31:00-04:00,223.63,223.82,222.24,222.56,-1.0,-1.0,-1.0
2,2022-11-04 09:32:00-04:00,222.48,222.5,220.32,220.36,4423.95,221.772,2283,2022-11-04 09:32:00-04:00,222.44,222.45,220.3,220.36,-1.0,-1.0,-1.0,2022-11-04 09:32:00-04:00,222.56,222.56,220.36,220.51,-1.0,-1.0,-1.0
3,2022-11-04 09:33:00-04:00,220.51,221.41,219.77,219.93,3681.94,220.538,1389,2022-11-04 09:33:00-04:00,220.36,221.34,219.75,219.89,-1.0,-1.0,-1.0,2022-11-04 09:33:00-04:00,220.51,221.5,219.83,219.98,-1.0,-1.0,-1.0
4,2022-11-04 09:34:00-04:00,219.97,220.58,219.47,219.6,2724.93,219.992,1196,2022-11-04 09:34:00-04:00,219.89,220.38,219.46,219.46,-1.0,-1.0,-1.0,2022-11-04 09:34:00-04:00,219.98,220.58,219.49,219.61,-1.0,-1.0,-1.0
5,2022-11-04 09:35:00-04:00,219.6,220.5,219.22,219.35,2571.95,219.865,1288,2022-11-04 09:35:00-04:00,219.46,220.48,219.22,219.31,-1.0,-1.0,-1.0,2022-11-04 09:35:00-04:00,219.61,220.55,219.28,219.39,-1.0,-1.0,-1.0
6,2022-11-04 09:36:00-04:00,219.31,219.73,218.79,219.14,2699.89,219.265,1309,2022-11-04 09:36:00-04:00,219.31,219.67,218.79,219.0,-1.0,-1.0,-1.0,2022-11-04 09:36:00-04:00,219.39,219.75,218.89,219.14,-1.0,-1.0,-1.0
7,2022-11-04 09:37:00-04:00,219.13,220.04,219.1,219.78,2272.48,219.758,1172,2022-11-04 09:37:00-04:00,219.0,219.99,219.0,219.75,-1.0,-1.0,-1.0,2022-11-04 09:37:00-04:00,219.14,220.1,219.13,219.8,-1.0,-1.0,-1.0
8,2022-11-04 09:38:00-04:00,219.76,220.33,219.25,219.37,2635.6,219.733,1416,2022-11-04 09:38:00-04:00,219.75,220.3,219.2,219.34,-1.0,-1.0,-1.0,2022-11-04 09:38:00-04:00,219.8,220.4,219.31,219.42,-1.0,-1.0,-1.0
9,2022-11-04 09:39:00-04:00,219.38,220.1,218.68,218.82,2395.08,219.466,1117,2022-11-04 09:39:00-04:00,219.34,220.02,218.68,218.86,-1.0,-1.0,-1.0,2022-11-04 09:39:00-04:00,219.42,220.12,218.7,218.94,-1.0,-1.0,-1.0
10,2022-11-04 09:40:00-04:00,218.86,218.98,218.1,218.32,2225.69,218.472,1096,2022-11-04 09:40:00-04:00,218.86,218.9,218.07,218.3,-1.0,-1.0,-1.0,2022-11-04 09:40:00-04:00,218.94,219.0,218.14,218.35,-1.0,-1.0,-1.0
11,2022-11-04 09:41:00-04:00,218.3,218.8,217.82,218.29,3094.07,218.328,1463,2022-11-04 09:41:00-04:00,218.3,218.79,217.85,218.27,-1.0,-1.0,-1.0,2022-11-04 09:41:00-04:00,218.35,218.81,217.91,218.37,-1.0,-1.0,-1.0
12,2022-11-04 09:42:00-04:00,218.37,218.45,217.44,217.49,1998.78,217.936,905,2022-11-04 09:42:00-04:00,218.27,218.41,217.44,217.44,-1.0,-1.0,-1.0,2022-11-04 09:42:00-04:00,218.37,218.47,217.5,217.55,-1.0,-1.0,-1.0
13,2022-11-04 09:43:00-04:00,217.5,218.3,217.34,217.62,1845.75,217.797,820,2022-11-04 09:43:00-04:00,217.44,218.29,217.33,217.62,-1.0,-1.0,-1.0,2022-11-04 09:43:00-04:00,217.55,218.35,217.4,217.73,-1.0,-1.0,-1.0
14,2022-11-04 09:44:00-04:00,217.73,217.79,216.92,217.0,1820.73,217.342,946,2022-11-04 09:44:00-04:00,217.62,217.72,216.91,216.92,-1.0,-1.0,-1.0,2022-11-04 09:44:00-04:00,217.73,217.79,216.95,217.03,-1.0,-1.0,-1.0
15,2022-11-04 09:45:00-04:00,216.94,217.56,216.75,217.47,2380.49,217.182,1142,2022-11-04 09:45:00-04:00,216.92,217.51,216.73,217.33,-1.0,-1.0,-1.0,2022-11-04 09:45:00-04:00,217.03,217.57,216.81,217.45,-1.0,-1.0,-1.0
16,2022-11-04 09:46:00-04:00,217.45,218.2,217.37,218.19,2123.05,217.898,976,2022-11-04 09:46:00-04:00,217.33,218.18,217.33,218.09,-1.0,-1.0,-1.0,2022-11-04 09:46:00-04:00,217.45,218.2,217.45,218.19,-1.0,-1.0,-1.0
17,2022-11-04 09:47:00-04:00,218.19,218.19,217.55,217.93,1205.36,217.887,554,2022-11-04 09:47:00-04:00,218.09,218.1,217.51,217.86,-1.0,-1.0,-1.0,2022-11-04 09:47:00-04:00,218.19,218.2,217.59,217.94,-1.0,-1.0,-1.0
18,2022-11-04 09:48:00-04:00,217.9,217.98,217.43,217.77,987.69,217.643,549,2022-11-04 09:48:00-04:00,217.86,217.93,217.43,217.68,-1.0,-1.0,-1.0,2022-11-04 09:48:00-04:00,217.94,218.0,217.51,217.78,-1.0,-1.0,-1.0
19,2022-11-04 09:49:00-04:00,217.73,217.92,217.07,217.88,1434.85,217.529,728,2022-11-04 09:49:00-04:00,217.68,217.88,217.07,217.82,-1.0,-1.0,-1.0,2022-11-04 09:49:00-04:00,217.78,217.93,217.12,217.93,-1.0,-1.0,-1.0
20,2022-11-04 09:50:00-04:00,217.83,218.65,217.77,218.33,2376.43,218.302,1001,2022-11-04 09:50:00-04:00,217.82,218.54,217.66,218.31,-1.0,-1.0,-1.0,2022-11-04 09:50:00-04:00,217.93,218.67,217.81,218.43,-1.0,-1.0,-1.0
21,2022-11-04 09:51:00-04:00,218.35,219.2,217.8,218.54,2428.57,218.568,1031,2022-11-04 09:51:00-04:00,218.31,219.17,217.76,218.52,-1.0,-1.0,-1.0,2022-11-04 09:51:00-04:00,218.43,219.2,217.84,218.67,-1.0,-1.0,-1.0
22,2022-11-04 09:52:00-04:00,218.59,219.2,218.25,218.69,1814.83,218.76,740,2022-11-04 09:52:00-04:00,218.52,219.11,218.25,218.64,-1.0,-1.0,-1.0,2022-11-04 09:52:00-04:00,218.67,219.2,218.3,218.73,-1.0,-1.0,-1.0
23,2022-11-04 09:53:00-04:00,218.64,218.91,218.52,218.81,963.59,218.687,341,2022-11-04 09:53:00-04:00,218.64,218.85,218.48,218.75,-1.0,-1.0,-1.0,2022-11-04 09:53:00-04:00,218.73,218.91,218.59,218.86,-1.0,-1.0,-1.0
24,2022-11-04 09:54:00-04:00,218.75,219.2,218.62,218.92,1813.4,218.991,697,2022-11-04 09:54:00-04:00,218.75,219.17,218.6,218.85,-1.0,-1.0,-1.0,2022-11-04 09:54:00-04:00,218.86,219.2,218.69,218.92,-1.0,-1.0,-1.0
25,2022-11-04 09:55:00-04:00,218.88,218.93,218.4,218.54,1090.9,218.627,534,2022-11-04 09:55:00-04:00,218.85,218.89,218.37,218.48,-1.0,-1.0,-1.0,2022-11-04 09:55:00-04:00,218.92,218.99,218.46,218.6,-1.0,-1.0,-1.0
26,2022-11-04 09:56:00-04:00,218.6,219.53,218.37,219.14,2348.39,219.043,893,2022-11-04 09:56:00-04:00,218.48,219.48,218.37,219.1,-1.0,-1.0,-1.0,2022-11-04 09:56:00-04:00,218.6,219.53,218.43,219.18,-1.0,-1.0,-1.0
